dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features
cora,mlp,0,1.0,0.6240000128746033,0.6100000143051147,0.1030802354216575,1.2914297580718994,1.2639862298965454,99,13.367268800735474,planetoid,cora,2708,5278,0.8099658961727927,,,,,,,,,,
cora,gcn,0,0.9642857313156128,0.8080000281333923,0.8080000281333923,0.931387424468994,1.3298722505569458,1.3095180988311768,35,9.717003107070925,planetoid,cora,2708,5278,0.8099658961727927,,,,,,,,,,
cora,sgc,0,0.9785714149475098,0.7839999794960022,0.7950000166893005,1.6786545515060425,1.8012044429779053,1.7960703372955322,84,23.498687744140625,planetoid,cora,2708,5278,0.8099658961727927,,,,,,,,,,
cora,appnp,0,0.9857142567634584,0.8100000023841858,0.8309999704360962,0.3759676218032837,0.8333689570426941,0.7885869741439819,80,14.968556642532349,planetoid,cora,2708,5278,0.8099658961727927,,,,,,,,,,
cora,harp,0,1.0,0.7900000214576721,0.7950000166893005,0.5230235457420349,1.0436478853225708,1.0217645168304443,5,58.82361817359924,planetoid,cora,2708,5278,0.8099658961727927,"{'low': [0.26774081587791443, 0.2437460720539093, 0.2441878467798233, 0.24432529509067535], 'high': [0.35356569290161133, 0.32310962677001953, 0.3233245611190796]}",0.1861934065818786,0.0035956886131316,0.1834197342395782,0.1871161460876464,0.1891337484121322,0.0,0.1716855466365814,0.1940351575613021,64.0
cora,mlp,1,1.0,0.6119999885559082,0.5870000123977661,0.1007791757583618,1.3115237951278689,1.28627347946167,103,13.349587440490724,planetoid,cora,2708,5278,0.8099658961727927,,,,,,,,,,
cora,gcn,1,1.0,0.8040000200271606,0.8140000104904175,0.2080827057361602,0.7787980437278748,0.7439630031585693,111,14.928504705429075,planetoid,cora,2708,5278,0.8099658961727927,,,,,,,,,,
cora,sgc,1,0.9785714149475098,0.7820000052452087,0.7960000038146973,1.6884710788726809,1.8073383569717407,1.8022968769073489,77,22.489959478378296,planetoid,cora,2708,5278,0.8099658961727927,,,,,,,,,,
cora,appnp,1,0.9928571581840516,0.8100000023841858,0.8240000009536743,0.2541685402393341,0.751613974571228,0.6986154317855835,142,18.617594718933105,planetoid,cora,2708,5278,0.8099658961727927,,,,,,,,,,
cora,harp,1,1.0,0.7979999780654907,0.7860000133514404,0.0697040781378746,0.7207615375518799,0.6699844598770142,12,50.56111478805542,planetoid,cora,2708,5278,0.8099658961727927,"{'low': [0.29224106669425964, 0.23705892264842987, 0.23523370921611786, 0.23546631634235382], 'high': [0.38387414813041687, 0.30809852480888367, 0.30802732706069946]}",0.1883257031440735,0.0099372351542115,0.1810108423233032,0.190469890832901,0.1977902203798294,0.0,0.161169946193695,0.2054764330387115,64.0
